(0.21645021645021645, 3.4137291280148414)
(0.4329004329004329, 3.450834879406308)
(0.6493506493506493, 3.4693877551020416)
(0.8658008658008658, 3.5064935064935066)
(1.0822510822510822, 3.5435992578849715)
(1.2987012987012987, 3.5807050092764383)
(1.5151515151515151, 3.6363636363636367)
(1.7316017316017316, 3.7105751391465684)
(1.948051948051948, 3.7847866419294993)
(2.1645021645021645, 3.8775510204081627)
(2.380952380952381, 3.970315398886828)
(2.5974025974025974, 4.081632653061225)
(2.8138528138528143, 4.192949907235621)
(3.0303030303030303, 4.3228200371057515)
(3.2467532467532467, 4.471243042671614)
(3.463203463203463, 4.619666048237477)
(3.679653679653679, 4.786641929499073)
(3.896103896103896, 4.990723562152134)
(4.112554112554113, 5.213358070500927)
(4.329004329004329, 5.4730983302411875)
(4.545454545454545, 5.769944341372913)
(4.761904761904762, 6.0853432282003705)
(4.978354978354979, 6.382189239332097)
(5.194805194805195, 6.697588126159555)
(5.411255411255411, 6.975881261595547)
(5.6277056277056285, 7.235621521335807)
(5.844155844155844, 7.439703153988868)
(6.0606060606060606, 7.606679035250464)
(6.277056277056277, 7.77365491651206)
(6.4935064935064934, 7.922077922077921)
(6.70995670995671, 8.03339517625232)
(6.926406926406926, 8.144712430426717)
(7.142857142857143, 8.218923933209648)
(7.359307359307358, 8.274582560296846)
(7.575757575757576, 8.311688311688311)
(7.792207792207792, 8.311688311688311)
(8.008658008658008, 8.274582560296846)
(8.225108225108226, 8.16326530612245)
(8.441558441558442, 7.996289424860853)
(8.658008658008658, 7.792207792207792)
(8.874458874458874, 7.551020408163265)
(9.09090909090909, 7.328385899814471)
(9.307359307359308, 7.12430426716141)
(9.523809523809524, 6.957328385899815)
(9.74025974025974, 6.86456400742115)
(9.956709956709958, 6.901669758812616)
(10.173160173160174, 7.0686456400742115)
(10.38961038961039, 7.365491651205938)
(10.606060606060606, 7.755102040816327)
(10.822510822510822, 8.16326530612245)
(11.03896103896104, 8.589981447124304)
(11.255411255411257, 8.96103896103896)
(11.471861471861471, 9.276437847866418)
(11.688311688311687, 9.461966604823747)
(11.904761904761905, 9.499072356215214)
(12.121212121212121, 9.40630797773655)
(12.337662337662339, 9.165120593692022)
(12.554112554112553, 8.794063079777365)
(12.77056277056277, 8.348794063079778)
(12.987012987012987, 7.8478664192949905)
(13.203463203463205, 7.309833024118738)
(13.41991341991342, 6.771799628942485)
(13.636363636363635, 6.289424860853432)
(13.852813852813853, 5.862708719851577)
(14.069264069264069, 5.565862708719852)
(14.285714285714286, 5.324675324675325)
(14.502164502164502, 5.1020408163265305)
(14.718614718614717, 4.935064935064935)
(14.935064935064934, 4.768089053803339)
(15.151515151515152, 4.638218923933209)
(15.367965367965368, 4.5269016697588125)
(15.584415584415584, 4.397031539888683)
(15.8008658008658, 4.267161410018553)
(16.017316017316016, 4.137291280148423)
(16.233766233766232, 4.007421150278293)
(16.450216450216452, 3.8775510204081627)
(16.666666666666668, 3.766233766233766)
(16.883116883116884, 3.6363636363636367)
(17.0995670995671, 3.52504638218924)
(17.316017316017316, 3.4137291280148414)
(17.532467532467532, 3.3024118738404447)
(17.748917748917748, 3.191094619666048)
(17.965367965367964, 3.079777365491651)
